n_qubits,depth,circuit_variant,param_index,layer_index,qubit_index,gate_type,grad_mean_over_seeds,abs_grad_mean_over_seeds,grad_abs_mean_over_seeds,grad_std_over_seeds,bias_ratio
4,4,hva,3,1,-1,gamma_zz,0.30483118478891186,0.30483118478891186,1.7453999799394808,2.2963987305561058,0.17464832605273733
4,4,hva,4,2,-1,beta_x,0.4119283009073233,0.4119283009073233,2.493243234444239,2.97607608787138,0.16521785568953717
4,4,hva,5,2,-1,gamma_zz,0.18615304330680624,0.18615304330680624,1.595716115767679,2.0688031316402005,0.11665799540869475
4,4,hva,6,3,-1,beta_x,-0.9250400496263467,0.9250400496263467,2.8431815178271242,3.0800582864685793,0.32535384878743157
4,4,hva,7,3,-1,gamma_zz,0.1644819281068401,0.1644819281068401,1.3744576742573633,1.673721361266647,0.1196704206957203
4,6,hea,0,0,0,ry,0.056890333174188866,0.056890333174188866,0.3008438711839437,0.3661737858372304,0.18910251669845207
4,6,hea,1,0,0,rz,-0.08747203675772303,0.08747203675772303,0.24005397868524342,0.2982917742552532,0.3643848655906478
4,6,hea,2,0,1,ry,-0.09658630645348196,0.09658630645348196,0.33032963517968794,0.4029150385818641,0.29239370667104103
4,6,hea,3,0,1,rz,-0.025279577904994823,0.025279577904994823,0.22658467902487098,0.29224401168344605,0.11156790482828677
4,6,hea,4,0,2,ry,-0.049276491425163625,0.049276491425163625,0.380583236012157,0.4523836754412206,0.12947625318838124
4,6,hea,5,0,2,rz,-0.05217238581788422,0.05217238581788422,0.2825209068594195,0.3409637053595277,0.18466734514569808
4,6,hea,6,0,3,ry,0.004805914783377973,0.004805914783377973,0.4194073522742012,0.47928412900381645,0.011458823402399343
4,6,hea,7,0,3,rz,-0.02196784608919243,0.02196784608919243,0.2580366286570453,0.3835331635706404,0.08513460357750084
4,6,hea,8,1,0,ry,-0.018035670490469686,0.018035670490469686,0.38983130606833477,0.4735097851915142,0.04626532094707681
4,6,hea,9,1,0,rz,-0.06253998337254879,0.06253998337254879,0.3427624027386883,0.4163995274657529,0.18245870280068963
4,6,hea,10,1,1,ry,0.1645374922604878,0.1645374922604878,0.4344834142130648,0.5287541459105903,0.3786968314049393
4,6,hea,11,1,1,rz,-0.10461221854451914,0.10461221854451914,0.3617478292952532,0.46277382568557734,0.2891854769338116
4,6,hea,12,1,2,ry,-0.08062743098742096,0.08062743098742096,0.38872111905063117,0.5016216544421014,0.2074171611368483
4,6,hea,13,1,2,rz,0.029328515473400946,0.029328515473400946,0.4541565940331897,0.5286618029522531,0.06457798005957734
4,6,hea,14,1,3,ry,0.12729185687425823,0.12729185687425823,0.38505336880409374,0.4565412306736136,0.3305823742552972
4,6,hea,15,1,3,rz,-0.029758451526629683,0.029758451526629683,0.3953716993041333,0.4642652502699063,0.07526702487559282
4,6,hea,16,2,0,ry,-0.08943800685854167,0.08943800685854167,0.45414679148718823,0.5324375533429562,0.19693633982453132
4,6,hea,17,2,0,rz,-0.06064239340877416,0.06064239340877416,0.3750931957279491,0.48260773643277083,0.16167286983461374
4,6,hea,18,2,1,ry,0.003702259809854482,0.003702259809854482,0.2929448722344994,0.3785968455315166,0.012638076855944582
4,6,hea,19,2,1,rz,0.04995109320825168,0.04995109320825168,0.33657936980868886,0.4255535827044006,0.14840806564182366
4,6,hea,20,2,2,ry,-0.055547380954158704,0.055547380954158704,0.43789690847611085,0.5472033665224922,0.12685036107577116
4,6,hea,21,2,2,rz,-0.0069852823753446,0.0069852823753446,0.32135126410577436,0.40503622294741587,0.0217372176667254
4,6,hea,22,2,3,ry,-0.09066465301800301,0.09066465301800301,0.35919314224182824,0.443506224475899,0.2524119821779961
4,6,hea,23,2,3,rz,0.012512873198259744,0.012512873198259744,0.3055708725206085,0.38718477345546926,0.04094916866598862
4,6,hea,24,3,0,ry,0.011785231749448307,0.011785231749448307,0.33988932983131737,0.4120984040324366,0.03467373263908322
4,6,hea,25,3,0,rz,-0.06056772751238651,0.06056772751238651,0.3321522023124273,0.46963762084146216,0.18234931784500233
4,6,hea,26,3,1,ry,0.08879367713459575,0.08879367713459575,0.36876022887939924,0.46231050011399405,0.24078973322156966
4,6,hea,27,3,1,rz,-0.07361987624847159,0.07361987624847159,0.3571100447498982,0.4238130526562932,0.20615459388724564
4,6,hea,28,3,2,ry,0.09574366142713035,0.09574366142713035,0.43510699387334745,0.5456991218559019,0.22004624787759572
4,6,hea,29,3,2,rz,-0.07209695740898514,0.07209695740898514,0.4014871665558557,0.5190727510687677,0.1795747496176934
4,6,hea,30,3,3,ry,-0.08108114690004549,0.08108114690004549,0.41171518389667455,0.5536087892180035,0.1969350416777286
4,6,hea,31,3,3,rz,-0.04009310166649309,0.04009310166649309,0.34962954304929844,0.45034261722356705,0.11467309460413581
4,6,hea,32,4,0,ry,-0.08742554988247762,0.08742554988247762,0.32781444219557204,0.393172712701072,0.26669218505730086
4,6,hea,33,4,0,rz,-0.021213221710002946,0.021213221710002946,0.3753781717910389,0.4431435286482175,0.05651160164371949
4,6,hea,34,4,1,ry,-0.0384678638008967,0.0384678638008967,0.44208111666955924,0.571284964837769,0.08701539683643635
4,6,hea,35,4,1,rz,0.14400425521707433,0.14400425521707433,0.31905249322027945,0.36211968718309356,0.45134972544361474
4,6,hea,36,4,2,ry,-0.08900800917403037,0.08900800917403037,0.4107518436367966,0.510477557366075,0.21669533698486484
4,6,hea,37,4,2,rz,0.043542861066353855,0.043542861066353855,0.35429878486498,0.43193535013152956,0.1228987028079916
4,6,hea,38,4,3,ry,0.17510289892895883,0.17510289892895883,0.467963178436649,0.4994719712674482,0.374180933452787
4,6,hea,39,4,3,rz,0.0776464645081724,0.0776464645081724,0.3162435442774884,0.42157491091271027,0.24552742945494294
4,6,hea,40,5,0,ry,-0.019744295818245255,0.019744295818245255,0.2816954445911838,0.34852825871999016,0.07009093046179533
4,6,hea,41,5,0,rz,-0.04178936991342493,0.04178936991342493,0.3249528502728577,0.43224011020748315,0.12860133363451018
4,6,hea,42,5,1,ry,0.0993162682080202,0.0993162682080202,0.3060081350063252,0.371827590540587,0.32455433972684095
4,6,hea,43,5,1,rz,-0.09374608175982699,0.09374608175982699,0.4242427538469621,0.4716242668673011,0.2209727353260675
4,6,hea,44,5,2,ry,0.06055599383413352,0.06055599383413352,0.3028107485242075,0.4100036542875655,0.19997967089762111
4,6,hea,45,5,2,rz,-0.08218803045067598,0.08218803045067598,0.25491038600037014,0.3130150591636347,0.32241930876271285
4,6,hea,46,5,3,ry,0.05459580408451295,0.05459580408451295,0.3335974101330888,0.43702424376520277,0.1636577576028896
4,6,hea,47,5,3,rz,0.016011195165982987,0.016011195165982987,0.25497966730263233,0.29260084515067586,0.06279400759818009
4,6,hva,0,0,-1,beta_x,1.025101254596474,1.025101254596474,2.7509208429479326,3.0953762004398593,0.3726393135681643
4,6,hva,1,0,-1,gamma_zz,-0.4634417107347393,0.4634417107347393,2.1761363621344842,2.723479234404847,0.21296538158122033
4,6,hva,2,1,-1,beta_x,0.4847686754027673,0.4847686754027673,2.5542033781391726,2.9233415406524044,0.1897925120418321
4,6,hva,3,1,-1,gamma_zz,-0.04879464461903426,0.04879464461903426,1.8583945948628948,2.3404554742770523,0.026256342304220977
4,6,hva,4,2,-1,beta_x,0.11747047200472158,0.11747047200472158,2.652213955241511,3.1437413746882235,0.04429147647480222
4,6,hva,5,2,-1,gamma_zz,-0.06053237297308058,0.06053237297308058,1.844820162557233,2.4955845421146385,0.03281207252698953
4,6,hva,6,3,-1,beta_x,0.15797040738123796,0.15797040738123796,2.4883642622385937,2.9894874693221354,0.06348363452187014
4,6,hva,7,3,-1,gamma_zz,0.08669933366997616,0.08669933366997616,1.6514453066085915,2.045388948227667,0.052499064500066236
4,6,hva,8,4,-1,beta_x,0.20840738670017495,0.20840738670017495,2.086867070916579,2.6666639475530576,0.09986615324216105
4,6,hva,9,4,-1,gamma_zz,-0.03895840774074493,0.03895840774074493,2.238145325706523,2.651562005442552,0.01740655858816799
4,6,hva,10,5,-1,beta_x,0.21469525433424433,0.21469525433424433,2.2639250962087445,2.6596024036817134,0.09483319686405753
4,6,hva,11,5,-1,gamma_zz,-0.3361396548461071,0.3361396548461071,1.8126905856373492,2.2694247414168283,0.18543686247916316
4,8,hea,0,0,0,ry,-0.07518335681090808,0.07518335681090808,0.33896287324097,0.4542837830837885,0.22180410524623953
4,8,hea,1,0,0,rz,0.003073775773036719,0.003073775773036719,0.228275486524535,0.3037470780343825,0.01346520303092788
4,8,hea,2,0,1,ry,-0.0926953814723178,0.0926953814723178,0.4111805485653972,0.5462084351940398,0.2254371754591271
4,8,hea,3,0,1,rz,-0.07602166833441842,0.07602166833441842,0.29372288736231666,0.3976821288773772,0.2588210575522601
4,8,hea,4,0,2,ry,-0.047689323263105786,0.047689323263105786,0.38514501373050364,0.4651601290398905,0.12382173353664438
4,8,hea,5,0,2,rz,0.10987065222753993,0.10987065222753993,0.2059659353104973,0.2676721246309128,0.5334408918732481
4,8,hea,6,0,3,ry,-0.09781006475171825,0.09781006475171825,0.43408664734070956,0.5218586860412555,0.22532382728406763
4,8,hea,7,0,3,rz,0.10257596594412405,0.10257596594412405,0.2666137853216531,0.39868551842873196,0.3847361674129944
4,8,hea,8,1,0,ry,-0.1805995533117715,0.1805995533117715,0.408144863168617,0.4463122920850471,0.442488855328702
4,8,hea,9,1,0,rz,0.1419458570956911,0.1419458570956911,0.31161738172075876,0.40420818002791536,0.4555132846308578
4,8,hea,10,1,1,ry,-0.13874289830317366,0.13874289830317366,0.3222652328278112,0.4163627802920004,0.43052394167913427
4,8,hea,11,1,1,rz,-0.07057502927868234,0.07057502927868234,0.382861889632561,0.47221788501973194,0.18433547759588764
4,8,hea,12,1,2,ry,0.0697508610610499,0.0697508610610499,0.4437757119174808,0.5370581758960296,0.15717593186807793
4,8,hea,13,1,2,rz,0.013463509593352352,0.013463509593352352,0.42443052352308,0.5114035312092368,0.03172135095656048
4,8,hea,14,1,3,ry,0.21900530535093718,0.21900530535093718,0.40757724270413037,0.48450600190637877,0.5373344789760933
4,8,hea,15,1,3,rz,0.028260317799128066,0.028260317799128066,0.41753541837810904,0.49899927310038955,0.06768364204623284
4,8,hea,16,2,0,ry,0.19721614411534738,0.19721614411534738,0.40007709480421405,0.4703799687960105,0.49294535147496676
4,8,hea,17,2,0,rz,-0.057248984419305676,0.057248984419305676,0.43432426160213733,0.5517079611910204,0.13181161975185368
4,8,hea,18,2,1,ry,-0.06308029040400005,0.06308029040400005,0.4451261285739513,0.5403745772296067,0.1417132950745668
4,8,hea,19,2,1,rz,-0.11290432557376277,0.11290432557376277,0.34209902314155993,0.46947208075246427,0.3300340484370306
4,8,hea,20,2,2,ry,0.02209061082700953,0.02209061082700953,0.42616901572901367,0.5308526469339934,0.05183532826576051
4,8,hea,21,2,2,rz,0.07810115478638065,0.07810115478638065,0.46794024702191267,0.5648258367432404,0.16690411924051313
4,8,hea,22,2,3,ry,0.025832642888809435,0.025832642888809435,0.2543591912696656,0.3283991578182376,0.10155969894330327
4,8,hea,23,2,3,rz,-0.1394405673894406,0.1394405673894406,0.4203185825862127,0.5931169254523815,0.33174970883148913
4,8,hea,24,3,0,ry,0.0885222108895898,0.0885222108895898,0.3188311268522407,0.3918149257142594,0.2776460747843303
4,8,hea,25,3,0,rz,0.12505703023852263,0.12505703023852263,0.3422217374529962,0.4097151332496702,0.365426904700052
4,8,hea,26,3,1,ry,0.04732980709054617,0.04732980709054617,0.3647310389984117,0.4344117003780911,0.1297663264977899
4,8,hea,27,3,1,rz,-0.03721964595960568,0.03721964595960568,0.2732133525563319,0.3397872688512168,0.13622923481359314
4,8,hea,28,3,2,ry,0.07622409229986092,0.07622409229986092,0.45043350557624334,0.5179631550271233,0.1692238507043268
4,8,hea,29,3,2,rz,0.041443873896655464,0.041443873896655464,0.39486956825507386,0.48542636889573165,0.10495585689167078
4,8,hea,30,3,3,ry,0.10592998782837511,0.10592998782837511,0.3709205566635881,0.4318906101045197,0.2855867271989716
4,8,hea,31,3,3,rz,0.0805132816459319,0.0805132816459319,0.3234603668803108,0.3848783296227236,0.24891235492762476
4,8,hea,32,4,0,ry,0.022830718783371243,0.022830718783371243,0.3676510142242828,0.4484577158054632,0.0620988869880921
4,8,hea,33,4,0,rz,-0.1443752067457309,0.1443752067457309,0.3782567896724945,0.4875177213952447,0.38168569788458967
4,8,hea,34,4,1,ry,0.10949069622623459,0.10949069622623459,0.47430852182525307,0.5703626031364523,0.2308427767750996
4,8,hea,35,4,1,rz,0.09008736618749996,0.09008736618749996,0.3626798636702302,0.4812430629920231,0.2483936253748359
4,8,hea,36,4,2,ry,-0.035007800733488165,0.035007800733488165,0.3486991341089836,0.46503574604480347,0.1003954335101578
4,8,hea,37,4,2,rz,-0.016149432409724242,0.016149432409724242,0.3694544319882062,0.4521253606220241,0.04371156768323657
4,8,hea,38,4,3,ry,-0.11042114252107274,0.11042114252107274,0.36216866529944086,0.4607257306644966,0.30488872478732054
4,8,hea,39,4,3,rz,-0.08525994433435251,0.08525994433435251,0.40785035188216645,0.4931102378884854,0.20904712706729517
4,8,hea,40,5,0,ry,0.013468059370606144,0.013468059370606144,0.26679930575903815,0.337700516528277,0.050480114002882284
4,8,hea,41,5,0,rz,0.04508784492126197,0.04508784492126197,0.36054816402575796,0.47918789757952535,0.1250535973275424
4,8,hea,42,5,1,ry,0.13288147230095013,0.13288147230095013,0.35431894533053043,0.4172303889749884,0.37503349468651687
4,8,hea,43,5,1,rz,0.07443347797843579,0.07443347797843579,0.40575378174828497,0.5510787516886965,0.18344493958311756
4,8,hea,44,5,2,ry,0.024633289258512565,0.024633289258512565,0.3656158654835048,0.45021862829007314,0.06737478207062067
4,8,hea,45,5,2,rz,0.03668845740078731,0.03668845740078731,0.4674573291913905,0.5467804027852159,0.07848514743420766
4,8,hea,46,5,3,ry,-0.055359186722264746,0.055359186722264746,0.3901162852990602,0.4871932793441319,0.14190432137388645
4,8,hea,47,5,3,rz,0.11130367966463099,0.11130367966463099,0.3951410987837336,0.488426041853533,0.28168084769524016
4,8,hea,48,6,0,ry,-0.02910344870663497,0.02910344870663497,0.3903993653413196,0.4736497997830503,0.07454788939318649
4,8,hea,49,6,0,rz,-0.11308073883184575,0.11308073883184575,0.3078093647786408,0.3667685283076296,0.3673726395984303
4,8,hea,50,6,1,ry,0.07254768907992235,0.07254768907992235,0.32360235996685754,0.4188030449462687,0.22418776268304177
4,8,hea,51,6,1,rz,-0.1548954471338221,0.1548954471338221,0.396582085804945,0.42525610008808995,0.390576006022636
4,8,hea,52,6,2,ry,-0.11359831923801779,0.11359831923801779,0.42399348714322166,0.5317819181415389,0.26792467970066935
4,8,hea,53,6,2,rz,-0.031961272299197756,0.031961272299197756,0.3849354700342033,0.49515616184549105,0.08303020840443144
4,8,hea,54,6,3,ry,0.0788811129913358,0.0788811129913358,0.4250462321273711,0.4955323742080561,0.18558243087236162
4,8,hea,55,6,3,rz,-0.01042956505658473,0.01042956505658473,0.3958800451231071,0.4978649741613484,0.026345265908367305
4,8,hea,56,7,0,ry,-0.04550345663966096,0.04550345663966096,0.26616504330665763,0.29247971286750774,0.17095955229265303
4,8,hea,57,7,0,rz,0.012713639653150336,0.012713639653150336,0.28409319757291834,0.3295798893219016,0.044751651084102693
4,8,hea,58,7,1,ry,0.07126837714314165,0.07126837714314165,0.2407681098833996,0.30740239061006996,0.2960042223933043
4,8,hea,59,7,1,rz,-0.08918809312601936,0.08918809312601936,0.2858703544321118,0.36580876038242266,0.3119879055077023
4,8,hea,60,7,2,ry,-0.06628109754258583,0.06628109754258583,0.3723591512395305,0.42737823686130455,0.1780031384268262
4,8,hea,61,7,2,rz,0.09950517566503467,0.09950517566503467,0.31893273485639345,0.3778859689355176,0.311994238251645
4,8,hea,62,7,3,ry,0.10347939084069192,0.10347939084069192,0.32241551645059874,0.40497808017106,0.3209504057989311
4,8,hea,63,7,3,rz,-0.0317168318662835,0.0317168318662835,0.31865700921567625,0.4070077033129136,0.0995328235344622
4,8,hva,0,0,-1,beta_x,0.49476509134678537,0.49476509134678537,3.9399942806534596,4.5732642081743995,0.12557507856704986
4,8,hva,1,0,-1,gamma_zz,-0.6917489293011003,0.6917489293011003,1.2018215219903223,1.3891310656824534,0.5755837423809007
4,8,hva,2,1,-1,beta_x,-0.18047521574159064,0.18047521574159064,2.993097859486579,3.5822613333160147,0.060297131672316394
4,8,hva,3,1,-1,gamma_zz,-0.4725946144388859,0.4725946144388859,1.6035137964127275,1.8359267249807822,0.294724383099255
4,8,hva,4,2,-1,beta_x,-0.3921921658844168,0.3921921658844168,3.140661937266267,3.9033308136906495,0.12487563886796213
4,8,hva,5,2,-1,gamma_zz,-0.11897444680192255,0.11897444680192255,1.9405467022051701,2.4711480637812087,0.06130975702193822
4,8,hva,6,3,-1,beta_x,-0.6624636371958812,0.6624636371958812,2.7262980824944063,3.155048575198318,0.2429901709756421
4,8,hva,7,3,-1,gamma_zz,-0.16432480268215482,0.16432480268215482,2.13789596437743,2.51484540875518,0.07686286209441781
4,8,hva,8,4,-1,beta_x,-0.16968727425864066,0.16968727425864066,2.130839397900472,2.5451829125927032,0.07963400452696455
4,8,hva,9,4,-1,gamma_zz,-0.403687061939148,0.403687061939148,1.9711697167690045,2.2907590414592756,0.20479568984087362
4,8,hva,10,5,-1,beta_x,0.5466760772609991,0.5466760772609991,2.4684484860376203,2.9542439310165176,0.22146545911457488
4,8,hva,11,5,-1,gamma_zz,0.5426517449984753,0.5426517449984753,2.3407640174614985,2.8495195920272223,0.2318267629502301
4,8,hva,12,6,-1,beta_x,-1.209023705562422,1.209023705562422,2.3645999684033376,2.600287724268152,0.511301582389345
4,8,hva,13,6,-1,gamma_zz,0.4292029616319766,0.4292029616319766,1.996105750600626,2.476462318997073,0.21502015186461423
4,8,hva,14,7,-1,beta_x,0.3835583293839798,0.3835583293839798,2.2920395166195022,2.915098525075993,0.1673436808583844
4,8,hva,15,7,-1,gamma_zz,0.484304653166831,0.484304653166831,1.9172143528939136,2.2404843284597886,0.2526085058959649
6,4,hea,0,0,0,ry,0.026062982085978036,0.026062982085978036,0.22018454995431033,0.2789868156565764,0.11836880512908898
6,4,hea,1,0,0,rz,0.03400423975573284,0.03400423975573284,0.20684335321883854,0.24863611598241359,0.1643960960145356
6,4,hea,2,0,1,ry,0.05864562312813101,0.05864562312813101,0.248483777773256,0.3083796657197414,0.2360138905391462
6,4,hea,3,0,1,rz,0.03565906659624726,0.03565906659624726,0.17948813325622534,0.2559269061798413,0.1986708867562991
6,4,hea,4,0,2,ry,0.048670617954029896,0.048670617954029896,0.2691542839359676,0.32226411507352526,0.18082795206636418
6,4,hea,5,0,2,rz,0.0034532620221966754,0.0034532620221966754,0.16633049585740858,0.22584093848788453,0.02076144849082311
6,4,hea,6,0,3,ry,-0.08472850528616753,0.08472850528616753,0.2972793234833179,0.3753427852345327,0.2850131125615329
6,4,hea,7,0,3,rz,0.022183122507255258,0.022183122507255258,0.1355400463986704,0.18820404449254421,0.16366471088556972
6,4,hea,8,0,4,ry,0.07155456398708003,0.07155456398708003,0.24204504210191413,0.2697513677144858,0.2956249934545297
6,4,hea,9,0,4,rz,-0.0047092837764200444,0.0047092837764200444,0.1714777121931591,0.24740863704277635,0.02746294965211163
6,4,hea,10,0,5,ry,0.02040205692206965,0.02040205692206965,0.24549662790910637,0.2933502578729169,0.08310524301630451
6,4,hea,11,0,5,rz,-0.09305179388563144,0.09305179388563144,0.18497501032598587,0.2629531188983262,0.5030506213874163
6,4,hea,12,1,0,ry,-0.06145309615764331,0.06145309615764331,0.2311760797584634,0.2697910167049937,0.2658280918244234
6,4,hea,13,1,0,rz,-0.021411833165126144,0.021411833165126144,0.22221594720913,0.27001872847168523,0.09635597010044974
6,4,hea,14,1,1,ry,0.02745835879018921,0.02745835879018921,0.19666644151046286,0.27199125526760326,0.13961893335385467
6,4,hea,15,1,1,rz,-0.03924536165842807,0.03924536165842807,0.20982722133470666,0.2653136889136345,0.1870365599314948
6,4,hea,16,1,2,ry,-0.009208239453584899,0.009208239453584899,0.2478170314863415,0.3269623285851269,0.03715741165309042
6,4,hea,17,1,2,rz,-0.01406543683939223,0.01406543683939223,0.24898182860535148,0.30199652246684516,0.05649182078137351
6,4,hea,18,1,3,ry,-0.013656138329961752,0.013656138329961752,0.24350528033495966,0.2822081540654978,0.056081487478122284
6,4,hea,19,1,3,rz,-0.0043287257442721485,0.0043287257442721485,0.2697867802645691,0.3492946171278547,0.016044988342375874
6,4,hea,20,1,4,ry,0.07483727089109363,0.07483727089109363,0.26876109541506016,0.3476728484451919,0.2784527677844098
6,4,hea,21,1,4,rz,-0.010534006001840528,0.010534006001840528,0.23366198182854536,0.3199794862596242,0.045082241960825456
6,4,hea,22,1,5,ry,0.015028786335329421,0.015028786335329421,0.25049324065863293,0.29006229589457677,0.059996773948125345
6,4,hea,23,1,5,rz,-0.014974259757857988,0.014974259757857988,0.25035106201773133,0.3198856778393185,0.05981304667602075
6,4,hea,24,2,0,ry,-0.06207430120124462,0.06207430120124462,0.2898859162728906,0.3388613983194218,0.21413355294849634
6,4,hea,25,2,0,rz,-0.02017590932343279,0.02017590932343279,0.1780351573612308,0.21530264982521416,0.11332542191369564
6,4,hea,26,2,1,ry,-0.030316419846993188,0.030316419846993188,0.28344441199780257,0.4081929867177553,0.10695719712134637
6,4,hea,27,2,1,rz,0.03799567751372932,0.03799567751372932,0.20275630373158768,0.24914373128086473,0.18739578900603984
6,4,hea,28,2,2,ry,-0.009475868095847457,0.009475868095847457,0.26763432175973356,0.3379490806912211,0.03540602727461204
6,4,hea,29,2,2,rz,-0.021607849799950795,0.021607849799950795,0.18129620342616362,0.24344517201850532,0.11918534084885506
6,4,hea,30,2,3,ry,-0.0433845078594841,0.0433845078594841,0.26668084926353103,0.30501144417500936,0.16268325220687987
6,4,hea,31,2,3,rz,0.06445644504119748,0.06445644504119748,0.2357961332142477,0.26276440754604463,0.2733566668908483
6,4,hea,32,2,4,ry,-0.07102916965423371,0.07102916965423371,0.22429594436425926,0.2864237417135945,0.31667612116463945
6,4,hea,33,2,4,rz,0.013659232759953056,0.013659232759953056,0.19767446063721522,0.24444323656471767,0.06909963338673923
6,4,hea,34,2,5,ry,0.06905535266496882,0.06905535266496882,0.22044367842706183,0.2908660996970674,0.31325621654338726
6,4,hea,35,2,5,rz,0.007097337906782195,0.007097337906782195,0.17222316868104223,0.2147881898605669,0.041210122663150175
6,4,hea,36,3,0,ry,-0.0263504893201773,0.0263504893201773,0.13366417961532348,0.16563077356059563,0.1971394983757955
6,4,hea,37,3,0,rz,0.004248749546170896,0.004248749546170896,0.12545479783206495,0.1629342392348611,0.03386677607865011
6,4,hea,38,3,1,ry,-0.009180725963703918,0.009180725963703918,0.10220556602777169,0.1462770302907173,0.08982608600014216
6,4,hea,39,3,1,rz,0.08133929305668727,0.08133929305668727,0.17355495213311614,0.1981226973285417,0.46866593005251617
6,4,hea,40,3,2,ry,-0.09746132863366377,0.09746132863366377,0.2177322481739097,0.28969460852700646,0.44762009050592194
6,4,hea,41,3,2,rz,0.026247407787647545,0.026247407787647545,0.13032431454542917,0.15694139374738075,0.20140069701650246
6,4,hea,42,3,3,ry,0.007590361294805618,0.007590361294805618,0.21201566787416273,0.2701010013727824,0.03580094514199146
